id,Manager_first_name,Manager_ last_name,Location,storeNumber,Sales
1,Rodger,Orris,Sidaohezi,53462-003,982529
2,Anna,Gallone,Vilarelho,43063-230,522943
3,Eustacia,Paffett,Xinglong,55714-8009,734061
4,Sybila,Gregoire,Lishu,0069-2250,662535
5,Osbourne,Pinckney,Skatepark,67046-533,689833
6,Lauretta,Hazeltine,Kanoni,0173-0736,855897
7,Stephana,Fantham,El Paraíso,62756-368,566876
8,Gisella,Parkyn,Chiara,55154-1827,757473
9,Britney,Rock,Budapest,68786-232,610018
10,Noak,Raecroft,Letlhakeng,21695-694,609263
11,Ainslee,Mulhill,Knoxville,21695-719,525147
12,Leonie,Fri,Butare,59762-0156,852178
13,Powell,Seggie,Maykor,21695-518,676855
14,Tish,Boschmann,Altos,63629-4144,542532
15,Hilde,Bilam,Ágios Athanásios,0268-0942,689391
16,Roosevelt,Hurtic,Campo Grande,62257-576,651459
17,Dionisio,Rodrigo,Vänersborg,49035-928,563841
18,Jeanne,Pedrocco,Guararema,0378-2402,961213
19,Juditha,Thieme,Duodaoshi,0904-5924,674121
20,Desiri,Gruczka,Pushchino,52685-374,534749
21,Melitta,Dreigher,Haiyu,61314-245,673060
22,Fabiano,Keward,Santo Tomas,54473-221,652728
23,Krystal,Shuxsmith,Nova Granada,49288-0836,938578
24,Ogdon,Vankov,Del Pilar,55154-4055,736449
25,Julio,Bartkiewicz,Simpang,53346-1371,997771
26,Titus,Dingivan,Chengzi,53329-165,905388
27,Tamarah,Mutch,Mando,60429-104,722650
28,Renard,Spohrmann,Zhangjiawan,52584-072,748970
29,Leisha,Barratt,Kishorganj,0409-7121,913218
30,Had,Couling,Osvaldo Cruz,42248-129,505916
31,Johnath,Wetherill,Taiping,36987-2583,623338
32,Rita,Lejeune,Zhangpu,41190-619,603693
33,Aguie,Wombwell,Albany,11086-028,687010
34,Gleda,Cayet,Lebak Timur,42507-499,672700
35,Paulo,Andriesse,Khonj,36800-949,549328
36,Bobbee,Peoples,Mamanguape,54575-162,677099
37,Booth,Medforth,Keboncau,0067-4990,622807
38,Consuelo,Blankau,Trieste,0173-0394,976195
39,Tove,Phinnis,Polen,68047-252,994908
40,See,Richens,Shevchenkove,63629-1836,929537
41,Elias,Guilloud,Gunungmalang Satu,52584-092,857206
42,Shea,Janaszkiewicz,Barayong,57344-004,891610
43,Aurelie,Ianniello,La Uvita,10812-907,547595
44,Josephina,Glendenning,Kemijärvi,64092-115,661321
